ET,Tr,Es,Ei,Esb,RF,GW,SM1,SM2,SM3
0.100916201090262,0.00631116683958608,0.0944858249611247,2.16439371314436e-07,0.000118992850179467,5.27355936696949e-14,1130.35071115637,0.28811027339356,0.386,0.386
0.128983853600061,0.00841384236133712,0,0.00116712328805363,0.11940288795067,0,1296.80505484214,0.287393725351216,0.385069237661743,0.386
0,0,0,0,0,0,1425.39687711846,0.286678963754487,0.384091314243295,0.386
0,0,0,0,0,0,1529.87666708648,0.285965979803181,0.37315902043725,0.384318370452561
0.0448454370114014,0.00166112747662754,0,7.71205244347148e-07,0.0431835383295295,0,1593.04590556536,0.285254768142046,0.372395834103097,0.381772723702073
0.070129005565484,0.00284894637184512,0,0,0.0672800591936389,0,1653.77545550652,0.284545324627203,0.371634312537791,0.379547354837799
0.0830650844874888,0.00357186519612664,0,1.4923052850162e-06,0.0794917269860772,0,1711.34066933355,0.283837645122638,0.370874710366,0.37757413828134
0.0107139490368963,0.000446665211553197,0,0,0.0102672838253431,0,1765.71007829549,0.283131727411406,0.370119216967506,0.375809807129042
0.0332415408572261,0.00156197348944599,0,0,0.0316795673677801,0,1817.060432337,0.282427564721554,0.369365396989435,0.374222019072924
0.07103570265462,0.00390697392825158,0,2.19385428572038e-06,0.0671265348720827,0,1865.61578174242,0.281725151995553,0.368612536323015,0.372785842797868
0.0244468657150574,0.00122805423074859,0,7.388437484801e-07,0.0232180726405604,0,1911.59496796542,0.28102448771324,0.367863509852658,0.371481729063377
0,0,0,0,0,0,1955.21807789148,0.280325566707528,0.367117473362776,0.370293295556226
0.069321567942336,0.0032054544893409,0,0,0.0661161134529951,0,1996.6922239142,0.279628382148371,0.366371867903608,0.369206769039644
0.122767534286033,0.00635720668632873,0,2.12496956167449e-06,0.116408202630143,0,2036.19660159509,0.278932929751573,0.365626718670985,0.368210867971533
0.144275827365932,0.00724485587569253,0,2.79225594885928e-06,0.13702817923429,0,2073.88836068543,0.278239206484138,0.364883323600158,0.36729616562566
0.200036155180629,0.0106340379457546,0,4.17199048401684e-06,0.189397945244391,0,2109.91646247421,0.277547206646446,0.364140235364005,0.36645431559357
0.308411605474203,0.0187301266420445,0,1.37717936851267e-06,0.28968010165279,0,2144.41792758479,0.276856923326441,0.363394740998915,0.365677990513894
0.597176884318508,0.0453200893169369,0.11446988425433,3.36912486549323e-05,0.437353219498586,0,2177.28481053785,0.274300271171255,0.362636198958492,0.364967891980321
0.357664222914358,0.0270128493974929,0.330650019185164,1.35433170079002e-06,0,0,2207.98549013763,0.267022078390781,0.361890337115476,0.364338215335629
0.213415621908484,0.0139335436466462,0.194838756744332,7.34179879705614e-06,0.00463597971870862,0,2237.06688528658,0.262461200022501,0.361153698513153,0.363769877431969
0.149863917092072,0.00763153807792406,0.142232379014148,0,0,0,2264.79412399887,0.258963795649877,0.360422582699053,0.36325304483403
0.122364998511712,0.00671662325424308,0.114796028882656,1.33440487579062e-06,0.00085101196993756,0,2291.33758598073,0.256023817048576,0.359693960980833,0.362781125114582
0.186577269894961,0.0109388277709239,0.174359518518796,1.99227326352529e-06,0.00127693133197776,0,2316.67554085344,0.251899878815683,0.358964917814272,0.362353386719958
0,0,0,0,0,0,2341.20119915371,0.251290438996801,0.35824406460164,0.361957474977367
0.131011994786365,0.00740213737895779,0.123609857350563,8.76632123960944e-14,5.67557556484119e-11,0,2364.76497830375,0.248193267813343,0.357521136254402,0.361596570510714
0.435422329740609,0.0292534479414826,0.406166897878347,1.98392077927022e-06,0,0,2386.98578012557,0.239478359775046,0.356787637669597,0.361280204066406
0.405179314513689,0.0303327921955687,0.374845219115167,1.30320295256636e-06,0,0,2408.0113602779,0.231402752853233,0.356055047712675,0.361003337102477
0.276634910879146,0.0167779289907241,0.25856070046311,1.99432395521468e-06,0.00129428710135625,0,2419.96073568823,0.225656024359459,0.355331802689116,0.360755934595964
0.50859058816576,0.0403035752921185,0.468271980617174,1.50322564683308e-05,0,0,2431.23295239665,0.215924627285579,0.35459683270894,0.360526556989886
0.294466954610689,0.022123507523052,0.272339485706308,3.96138132953137e-06,0,0,2441.97102888864,0.20999231785975,0.353873706453933,0.360311588344919
0.403496162371146,0.0302750661770731,0.373217153342694,3.9428513788273e-06,0,0,2452.18052928151,0.202057008042145,0.353147647283292,0.36011051538162
0.321005577745724,0.0182027222738281,0.30066465275479,3.27909261940286e-06,0.00213492362448634,0,2461.92153530198,0.195541186449608,0.352430043056573,0.359921826088634
0.273151804970842,0.01502929208731,0.252515899143149,8.59125966409599e-06,0.00559802248071908,0,2471.2656917136,0.190004545973756,0.351715899586044,0.359743416844797
0.326369581294942,0.0186600105023568,0.303867912466021,5.9024980342662e-06,0.00383575582853009,0,2480.21870088611,0.183454634824017,0.351001408800005,0.359574993003833
0.480909366375622,0.0324309770927307,0.415715272377193,5.04731183553969e-05,0.0327126437873432,0,2488.76255293407,0.174684064966173,0.350280717317067,0.359416854416033
0.233290250769127,0.0138669900439142,0,0.000901552363066719,0.218521708362146,0,2497.08938730919,0.174249616061686,0.349572047811128,0.359264145293689
0.126885136439395,0.00623020331152711,0,0.00305675065363345,0.117598182474235,0,2505.21927148358,0.173816248473843,0.348869849048562,0.359116185451104
0.625284720936541,0.0450911022936733,0,7.96765930153475e-05,0.580113942049852,0,2514.08385279567,0.207151724126365,0.348147718688875,0.358947543403463
0.329931913252363,0.0258649240100215,0.302725699311674,0.00134128993066745,0,0,2523.02534864855,0.217784856911009,0.347441567612279,0.358776477883216
0.163059201176769,0.0113834206292284,0,0.000559533207636874,0.151116247339904,0,2531.72126328047,0.217243212874189,0.346746688684932,0.358611522376459
0.393416296763265,0.0250884241063217,0,0.000599457330479074,0.367728415326464,0,2540.21850025104,0.21670291240858,0.346046135463824,0.358451064451102
0.180350076663482,0.00940170930446802,0,1.34291169792755e-06,0.170947024447316,0,2548.48495189781,0.216163959744536,0.345356537544966,0.358296281922576
0.307432129704148,0.0163823299315288,0.238862756777288,1.3517680108821e-06,0.0521856912273198,0,2556.43431676606,0.210849090564475,0.344665054251986,0.358149145138602
0.508727811677933,0.0325036226323438,0.473270778942444,4.71461166006093e-06,0.00294869549148581,0,2563.98567630989,0.200859275851666,0.34396613840093,0.358011616220498
0.158798524534689,0.00904709706288041,0,0.000268516920559712,0.149482910551249,0,2571.33532228025,0.200359727697305,0.343281704683612,0.357879000304249
0.357787973421294,0.0207401209308212,0.319058095862159,1.00242715151033e-06,0.0179887542011624,0,2578.39450348325,0.19348025775158,0.342592731675623,0.357753152856025
0.294171562312459,0.0227307661702938,0.271440078293622,7.1784854262269e-07,0,0,2585.19021937822,0.187579064995125,0.341904147184195,0.357633454645293
0.402873488722492,0.0283522246738454,0.371528920068934,4.90113208091886e-06,0.00298744284763212,0,2591.70424045909,0.179681964370474,0.341213998647672,0.357520300552348
