ET,Tr,Es,Ei,Esb,RF,GW,SM1,SM2,SM3
0.100916201090262,0.00631116683958608,0.0944858249611247,2.16439371314436e-07,0.000118992850179467,0,1951.1989322866,0.28811027339356,0.386,0.386
0.128983853600061,0.00841384236133712,0,0.00116712328805363,0.11940288795067,0,2017.704340694,0.287393725351216,0.385192259050869,0.385999942437025
0,0,0,0,0,0,2075.10409569965,0.286678963754487,0.384391907492535,0.385998745721386
0,0,0,0,0,0,2125.30352916395,0.285965979803181,0.383594056003466,0.385996327875361
0.0448454370114014,0.00166112747662754,0,7.71205244347148e-07,0.0431835383295295,0,2169.66087990702,0.285254768223374,0.38279773775552,0.385992665415754
0.070129005565484,0.00284894637184512,0,0,0.0672800591936389,0,2209.18578055081,0.284545324854352,0.382003220035349,0.385987765004979
0.0830650844874888,0.00357186519612664,0,1.4923052850162e-06,0.0794917269860772,0,2244.65398423658,0.283837645539334,0.381210763389944,0.385981642524772
0.0107139490368963,0.000446665211553197,0,0,0.0102672838253431,0,2276.66252762451,0.283131727851606,0.380422566523536,0.385974355622812
0.0332415408572261,0.00156197348944599,0,0,0.0316795673677801,0,2305.71575020271,0.282427565248827,0.379636180258208,0.385965882370062
0.07103570265462,0.00390697392825159,0,2.19385428572038e-06,0.0671265348720827,0,2332.21297256034,0.281725152747254,0.378850894874869,0.385956225686246
0.0244468657150574,0.00122805423074859,0,7.388437484801e-07,0.0232180726405604,0,2356.46172805339,0.281024488535479,0.378069577341619,0.385945462141085
0,0,0,0,0,0,2378.7386754572,0.280325567527723,0.377291381017125,0.385933597749758
0.069321567942336,0.0032054544893409,0,0,0.0661161134529951,0,2399.28596660653,0.279628383161923,0.376513766518604,0.385920595424167
0.122767534286033,0.00635720668632874,0,2.12496956167449e-06,0.116408202630143,0,2418.29472911794,0.278932931155497,0.375736765164793,0.385906468252803
0.144275827365932,0.00724485587569253,0,2.79225594885928e-06,0.13702817923429,0,2435.92127113711,0.278239208337826,0.37496166361659,0.385891259649418
0.200036155180629,0.0106340379457546,0,4.17199048401684e-06,0.189397945244391,0,2452.31496650359,0.277547209168073,0.374187035977831,0.385874949433773
0.308411605474203,0.0187301266420445,0,1.37717936851267e-06,0.28968010165279,0,2467.61223605553,0.276856927037905,0.373410217611222,0.385857479839998
0.597176884318508,0.0453200893169369,0.11446988425433,3.36912486549323e-05,0.437353219498586,0,2481.76127241601,0.274300277810061,0.372620765175948,0.385838613378568
0.357664222914358,0.0270128493974929,0.330650019185164,1.35433170079002e-06,0,0,2494.30318539729,0.26702208672192,0.371843958514158,0.3858190912356
0.213415621908484,0.0139335436466462,0.194838756744332,7.34179879705614e-06,0.00463597971870862,0,2505.74079767409,0.262461209140153,0.371076371781969,0.385798817210107
0.149863917092072,0.00763153807792406,0.142232379014148,0,0,0,2516.31046341113,0.258963805164824,0.370314368342227,0.385777694133041
0.122364998511712,0.00671662325424308,0.114796028882656,1.33440487579062e-06,0.00085101196993756,0,2526.15859836518,0.256023826895872,0.369554979486768,0.385755645112488
0.186577269894961,0.0109388277709239,0.174359518518796,1.99227326352529e-06,0.00127693133197776,0,2535.29850479003,0.251899889200895,0.368795355807333,0.385732616142419
0,0,0,0,0,0,2543.96364357693,0.251290449356185,0.368043903455135,0.385708807462845
0.131011994786365,0.00740213737895779,0.123609857350563,8.76632123960944e-14,5.67557556484119e-11,0,2552.10160269002,0.248193278510207,0.367290607037384,0.385683973833421
0.435422329740609,0.0292534479414826,0.406166897878347,1.98392077927022e-06,0,0,2559.53776783207,0.239478371830814,0.366527188475708,0.385657951245047
0.405179314513689,0.0303327921955687,0.374845219115167,1.30320295256636e-06,0,0,2566.35293187209,0.231402766144831,0.365764830007661,0.385631062986538
0.276634910879146,0.0167779289907241,0.25856070046311,1.99432395521468e-06,0.00129428710135625,0,2572.67753288025,0.225656038237916,0.365011741989251,0.385603535555632
0.50859058816576,0.0403035752921185,0.468271980617174,1.50322564683308e-05,0,0,2578.51785261209,0.215924642499649,0.364247426314429,0.385574780107292
0.294466954610689,0.022123507523052,0.272339485706308,3.96138132953137e-06,0,0,2583.95933560219,0.209992333675458,0.363494797641041,0.385545475097798
0.403496162371146,0.0302750661770731,0.373217153342694,3.9428513788273e-06,0,0,2589.04243337516,0.202057024612326,0.36273949661624,0.385515190069527
0.321005577745724,0.0182027222738281,0.30066465275479,3.27909261940286e-06,0.00213492362448634,0,2593.80026470246,0.195541203393605,0.361992579862013,0.385484276040679
0.273151804970842,0.01502929208731,0.252515899143149,8.59125966409599e-06,0.00559802248071908,0,2598.29929731053,0.190004563180476,0.361249195776375,0.385452576301217
0.326369581294942,0.0186600105023568,0.303867912466021,5.9024980342662e-06,0.00383575582853009,0,2602.55445557265,0.183454652329945,0.360505650014107,0.385419982553081
0.48090940604473,0.0324309770927307,0.415715312046301,5.04731183553969e-05,0.0327126437873432,0,2606.5674316981,0.174684082159169,0.359756265394106,0.385386324713327
0.233290250769127,0.0138669900439142,0,0.000901552363066719,0.218521708362146,0,2610.43935100875,0.174249633399101,0.359018703212133,0.385352134802008
0.126885136439395,0.00623020331152711,0,0.00305675065363345,0.117598182474235,0,2614.1940479096,0.173816265852189,0.358287597606299,0.385317228805139
0.625284720936541,0.0450911022936733,0,7.96765930153475e-05,0.580113942049852,0,2618.51484523436,0.207151742667764,0.357537377599706,0.385280325419771
0.329931913252363,0.0258649240100215,0.302725699311674,0.00134128993066745,0,0,2622.89477229005,0.217784876349157,0.356802913787527,0.385242781027906
0.163059201176769,0.0113834206292284,0,0.000559533207636874,0.151116247339904,0,2627.10185699308,0.217243232637471,0.356079577203472,0.385204694315053
0.393416296763265,0.0250884241063217,0,0.000599457330479074,0.367728415326464,0,2631.20229098292,0.216702932945464,0.355350940816772,0.385165510545503
0.180350076663482,0.00940170930446802,0,1.34291169792755e-06,0.170947024447316,0,2635.14043188094,0.216163980538538,0.354633083513892,0.38512583478993
0.307432129704148,0.0163823299315288,0.238862756777288,1.3517680108821e-06,0.0521856912273198,0,2638.88301532272,0.210849111843447,0.353913591223994,0.385085284716695
0.508727811677933,0.0325036226323438,0.473270778942444,4.71461166006093e-06,0.00294869549148581,0,2642.38894723357,0.200859298053646,0.3531870958864,0.385043725745589
0.158798524534689,0.00904709706288041,0,0.000268516920559712,0.149482910551249,0,2645.75113906586,0.200359750071313,0.352474743037805,0.38500186247774
0.357787973421294,0.0207401209308212,0.319058095862159,1.00242715151033e-06,0.0179887542011624,0,2648.95125404549,0.19348028059039,0.35175819689547,0.384959048194169
0.294171562312459,0.0227307661702938,0.271440078293622,7.1784854262269e-07,0,0,2651.99893085696,0.187579088279978,0.35104219500984,0.384915472867326
0.402873534841692,0.0283522246738455,0.371528966188134,4.90113208091886e-06,0.00298744284763212,0,2654.88913702235,0.179681987236232,0.350324857988842,0.384871080664123
0.46299568865672,0.0374270055355218,0.425567267899444,1.4152217539401e-06,0,0,2657.63107291802,0.170740903928626,0.349604162496179,0.384825801728747
0.557032829907549,0.0564248331509699,0.500607996756579,0,0,0,2660.24077443493,0.160304098104304,0.348874695917828,0.384779421054844
