date,Rn,Pa,Prcp,Tavg,VOD,LULC,LAI,VPD,U2,ET_obs,GPP_obs
2010-01-01,12.3437876157407,100.8832265625,0.000119209289550781,-3.53421630859395,0.642644603531533,22,0.259375005960464,0.277263045310974,1.28393419829737,0.4,0.778419804
2010-01-02,14.9524826388889,101.6458125,0.646668660920113,-2.48679199218799,0.64023311762475,22,0.25783203728497,0.154579430818558,1.19531421546191,0.3,0.7367757
2010-01-03,-22.0617303240741,101.272890625,1.00195710547268,-5.71347656249998,0.637821631717968,22,0.256289068609476,0.111077308654785,1.08037313128963,0.4,0.707262612
2010-01-04,-3.31485279224537,102.3236171875,0,-7.425207519531,0.635410145811185,22,0.254746099933982,0.262567460536957,1.35477745373532,0.2,0.586697824
2010-01-05,7.16009693287037,102.4404296875,0.000435113804542198,-8.490972900391,0.632998659904402,22,0.253203131258488,0.230663597583771,1.16096962877435,0.3,0.195350161
2010-01-06,10.6431004050926,102.586953125,0,-7.550299072266,0.63058717399762,22,0.251660162582993,0.242877900600433,0.881101593399874,0.3,-0.011025747
2010-01-07,12.1637890625,102.364265625,0.000852346317969932,-6.92273559570299,0.628175688090837,22,0.250117193907499,0.240831166505814,0.590655471690245,0.3,-0.016069889
2010-01-08,1.579873046875,101.772515625,0,-7.14285888671896,0.625764202184054,22,0.248574225232005,0.232857793569565,0.656927532989468,0.2,0.060789529
2010-01-09,4.60010525173611,102.281984375,0,-5.87869873046896,0.623352716277272,22,0.247031256556511,0.23699976503849,0.600608482802853,0.3,0.824344783
2010-01-10,8.98615162037037,102.4303125,0.00128023589240911,-4.11209716796895,0.620941230370489,22,0.244804693385959,0.261067688465118,0.39443298662808,0.3,0.990620912
2010-01-11,3.2222583912037,102.33978125,0.000435113861385616,-4.957525634766,0.618529744463706,22,0.242578130215407,0.232072368264198,0.65747392211489,0.3,2.779456219
2010-01-12,-1.67217845775463,102.3566328125,0.0207602970476728,-7.77283325195299,0.616118258556924,22,0.240351567044854,0.268627107143402,1.65079098461278,0.4,1.694279131
2010-01-13,9.38331886574074,101.85240625,0,-5.578039550781,0.613706772650141,22,0.238125003874302,0.317523777484894,0.673280911365487,0.3,0.38427566
2010-01-14,15.5563585069444,101.9918359375,0.00128685496747494,-4.270513916016,0.611295286743358,22,0.23589844070375,0.31605464220047,1.00821811396963,0.2,0.878325629
2010-01-15,18.5488396990741,102.7918515625,0.00170706766766671,-4.474279785156,0.608883800836576,22,0.233671877533198,0.29594424366951,1.02919150307155,0.3,0.859906152
2010-01-16,24.680630787037,102.2531796875,0.00257511646850617,-3.731207275391,0.606472314929793,22,0.231445314362645,0.274283230304718,0.525490454676473,0.2,1.42046037
2010-01-17,35.0512008101852,101.8961875,0.000858306350437488,-2.087561035156,0.60406082902301,22,0.229218751192093,0.261959791183472,0.744451171065432,0.2,1.491828108
2010-01-18,59.2849131944444,101.59496875,0.0211000442504883,0.842156982422011,0.597098331195446,22,0.228105470538139,0.261556267738342,0.961645128231115,0.2,1.896771668
2010-01-19,34.9698292824074,101.2197890625,0.000852346317969932,1.18337402343803,0.565230939037333,22,0.226992189884186,0.166684478521347,0.821238993961123,0.3,1.901261954
2010-01-20,22.6615060763889,102.5252578125,0.00464332151750568,-0.498571777343955,0.55071367423341,22,0.225878909230232,0.354590237140656,1.43507909011727,0.2,1.699468511
2010-01-21,18.1566319444444,102.781578125,0,-3.28528442382799,0.541926595924891,22,0.224765628576279,0.340812385082245,0.88167580129278,0.5,0.611785541
2010-01-22,14.1162254050926,102.56040625,0.000852346374813351,-2.28729858398395,0.533139517616373,22,0.223652347922325,0.417608261108398,2.13172861321372,0.2,0.905293297
2010-01-23,20.4978240740741,101.6521484375,0.00127892360524129,-1.35510864257799,0.524352439307855,22,0.222539067268371,0.40686360001564,1.01955158683719,0.9,0.871088626
2010-01-24,-1.01564163773148,101.7362734375,0.000852346317969932,1.12609252929701,0.537136403183862,22,0.221425786614418,0.523079037666321,1.71525634179183,0.5,1.973576806
2010-01-25,14.8622106481481,102.348484375,5.6843418860808e-11,-2.01141967773395,0.556899233648979,22,0.220312505960464,0.355462193489075,1.34963009012393,0.3,1.477852563
2010-01-26,44.3766753472222,101.1625234375,0.00128746012251213,0.195611572266046,0.550920028934756,22,0.220136724412441,0.338026821613312,0.665458086707751,0.4,2.031044812
2010-01-27,38.8201909722222,101.003515625,0.000846385944441863,1.59047851562502,0.556933688265937,22,0.219960942864418,0.330248951911926,0.261024743564714,0.2,2.192335717
2010-01-28,30.2159259259259,101.8676015625,0.00129628142531146,-1.278234863281,0.571160272255049,22,0.219785161316395,0.240623563528061,0.385587866846728,0.2,2.341365167
2010-01-29,47.6059837962963,101.333453125,0.0097785678008222,2.14385375976605,0.580822623693026,22,0.219609379768372,0.456818640232086,0.469894335793533,0.5,2.455013117
2010-01-30,28.5105179398148,101.217328125,0.00257896522271039,1.32131347656201,0.588528875466231,22,0.219433598220348,0.385041028261185,0.532546881206341,0.4,2.44559937
2010-01-31,39.1942679398148,101.5924765625,0.00256895964412251,1.29097900390605,0.59066765491779,22,0.219257816672325,0.397583603858948,1.04481013608398,0.5,1.787484733
2010-02-01,36.5681857638889,101.77865625,0.00213820271710574,-2.22131958007799,0.590159603265616,22,0.219082035124302,0.209170788526535,1.36823157264711,0.4,0.762010004
2010-02-02,31.6593344907407,102.0396328125,0.00560661374038318,-2.55426635742197,0.589651551613441,22,0.218906253576279,0.198181807994843,0.929303671127716,0.3,1.129804793
2010-02-03,37.0774594907407,101.9388515625,0.00384165832656436,-2.13751831054697,0.589143499961266,22,0.219492191448808,0.213758647441864,0.790206445532857,0.5,1.247952013
2010-02-04,51.8694675925926,101.7393515625,0.0327631169056986,-0.471197509766,0.588635448309091,22,0.220078129321337,0.2297602891922,0.7814182115645,0.3,0.777820645
2010-02-05,25.7655295138889,102.166875,0.583661836571991,-1.559973144531,0.595153331756592,22,0.220664067193866,0.203846782445908,1.60310284078163,0.2,0.435364877
2010-02-06,14.4656264467593,101.8645390625,1.97368883527815,-2.610845947266,0.605936961514609,22,0.221250005066395,0.11772358417511,0.857843766343905,0.4,1.459203912
2010-02-07,63.4902546296296,101.1554375,0.0513098566443659,0.179620361328034,0.633419110879794,22,0.221835942938924,0.128010898828506,0.606611808490626,0.2,0.789289663
2010-02-08,31.9229890046296,101.1463828125,0.861483800690621,1.168542480469,0.672033606649755,22,0.222421880811453,0.0827544331550598,0.994565964664963,0.3,0.961331643
2010-02-09,16.7816869212963,101.7513359375,0.358432793291286,-0.0855773925779886,0.633200143064772,22,0.223007818683982,0.212582617998123,1.73826495905577,0.4,1.609828305
2010-02-10,42.5129947916667,102.414484375,0.38300157757476,-0.990698242187989,0.592233957661377,22,0.223593756556511,0.369649350643158,1.74184519876566,0.1,1.269244248
2010-02-11,22.0501273148148,102.8170625,0.000852346374813351,-3.51364746093799,0.592916609330492,22,0.225078130140901,0.306917697191238,0.438288203611375,0.6,0.022840196
2010-02-12,37.2223987268519,102.4301171875,0.000852346317969932,-3.35138549804697,0.593599260999606,22,0.22656250372529,0.3026043176651,1.34301073922931,0.7,1.168604688
2010-02-13,55.8408449074074,102.0091640625,0.00295341010314587,-1.32727661132799,0.594281912668721,22,0.22804687730968,0.249382227659225,1.01976468572912,0.2,1.174106937
2010-02-14,18.613861400463,102.5238359375,0.167121295817196,-2.67099609374998,0.59573293026987,22,0.22953125089407,0.26699435710907,1.38402264635285,0.3,1.552304177
2010-02-15,42.0209953703704,102.603,0.000619888282926695,-2.66477050781197,0.597886920957775,22,0.231015624478459,0.288741111755371,1.18566930611544,0.4,0.645164631
2010-02-16,29.2279253472222,101.921953125,0.000441074377022233,0.910119628906045,0.588829469549787,22,0.232499998062849,0.383223533630371,1.53733071483265,0.2,1.083057074
2010-02-17,42.8018547453704,102.0185390625,0.00299234397971304,-0.398962402343955,0.580238912898316,22,0.233984371647238,0.459482550621033,1.97651255176803,0.2,0.80325364
2010-02-18,48.1932552083333,101.462265625,0.000858604551012832,0.894067382812011,0.572585235319259,22,0.235468745231628,0.469042122364044,1.78433783111862,0.2,0.64950014
2010-02-19,54.6122164351852,100.723546875,0,3.30025634765605,0.569192036179833,22,0.239160150289535,0.47474017739296,1.24016047603676,0.2,1.593682872
